	lSF	lFP	lRMF	lCMF	lPOB	lLOF	lPT	lPOP	lMOF	lRAC	lCAC	lINS	lPRC	lPOC	lSUPRA	lSP	lIP	lPARA	lPCG	rIST	lPREC	lCUN	lPERI	lLIN	lLO	lTRANS	lBKS	lST	lMT	lIT	lTP	lENT	lPHIP	lFUS	rSF	rFP	rCAC	rCMF	rPOB	rLOF	rPT	rPOP	rMOF	rRMF	rRAC	rINS	rPRC	rPOC	rSUPRA	rSP	rIP	rPARAC	rPCG	lIST	rPREC	rCUN	rPERI	rLIN	rLO	rTRANS	rBKS	rST	rMT	rIT	rTP	rENT	rPHIP	rFUS
'sub_21'	-0.065606	-0.055305	-0.018348	-0.003602	0.002737	0.003064	-0.014095	0.015901	0.002128	-0.013283	-0.016767	-0.019025	-0.012900	-0.009024	-0.025446	-0.004652	-0.019035	-0.007504	-0.006471	-0.012617	-0.011348	-0.011551	-0.030020	-0.004822	0.286046	-0.011364	-0.784386	0.023445	0.016239	-0.054969	-0.014392	-0.009193	0.015154	-0.010358	-0.112559	-0.005235	-0.018611	-0.042009	-0.016004	0.013284	-0.018020	-0.011585	0.002596	-0.024515	-0.003087	-0.010394	-0.016497	0.034286	-0.006718	-0.006080	0.540393	-0.001762	-0.035720	-0.011641	-0.001824	-0.092915	-0.011155	-0.218137	-0.092408	-0.002351	-0.028340	-0.085193	-0.262765	-0.002972	0.006098	-0.045856	-0.038577	-0.014672
'sub_22'	0.076423	-0.056008	-0.046086	0.008122	0.002910	0.033523	0.005051	0.009144	-0.011798	0.022217	0.012290	-0.007090	-0.006808	0.005383	-0.006736	0.007352	-0.021215	0.025174	-0.008122	0.009405	0.004989	0.005196	0.083936	0.038726	-0.180851	0.005532	0.211198	0.002649	-0.018807	-0.036622	-0.015177	0.002202	-0.004645	-0.011806	0.016603	0.004178	0.041128	-0.015375	0.003967	0.004119	-0.027487	-0.008180	-0.001862	-0.016803	0.015048	0.008459	-0.005689	-0.025265	0.007523	-0.018393	-0.124269	0.011143	0.003768	-0.011044	-0.001352	-0.001749	0.004454	-0.054385	-0.054214	-0.021399	-0.072643	-0.004970	-0.013668	0.009187	0.002009	0.006339	-0.042912	-0.005969
'sub_23'	-0.007669	0.082828	0.006402	-0.003109	0.000480	-0.025505	-0.020383	-0.004690	0.002876	0.003691	0.005513	0.004746	-0.004073	-0.011083	0.012599	0.001016	-0.006366	0.002521	0.001089	-0.001641	-0.002716	0.002720	-0.024723	0.002995	-0.022003	0.001924	-0.102934	-0.007466	0.007335	0.018131	-0.013320	-0.008711	-0.021085	-0.001157	0.015253	-0.002825	-0.013047	-0.019602	-0.003179	-0.010717	-0.016241	-0.006915	-0.002736	-0.000931	0.004795	-0.004502	-0.011722	-0.004601	-0.010351	-0.011249	-0.054848	-0.003007	0.003975	0.015945	0.001448	-0.009814	0.018979	0.261369	-0.031332	0.010050	-0.025345	-0.018956	-0.107913	-0.007211	-0.000364	-0.007027	-0.055243	0.008153
'sub_24'	-0.025057	-0.000308	0.057883	0.005795	0.011173	-0.009777	0.005811	0.023596	0.005381	0.006230	0.007183	0.015177	-0.000217	0.000720	0.006421	0.010378	0.003671	0.008010	0.001745	-0.001914	0.000096	0.009240	-0.029936	0.006266	-0.018778	0.004209	0.848861	-0.009635	0.020261	0.003333	0.002562	0.001581	0.046254	-0.006963	-0.065966	0.002613	-0.005170	0.071570	0.006808	0.018096	-0.010247	0.010148	0.003142	0.025664	-0.004998	0.006180	0.011998	0.012309	-0.004075	-0.001658	0.109002	-0.001060	0.002907	0.003175	0.005172	0.012154	0.022214	0.282179	0.058096	0.024342	-0.042047	0.043808	-0.161728	0.023241	0.002494	0.041860	-0.006749	0.001058
'sub_25'	0.016166	-0.100925	0.008470	0.002219	-0.003664	-0.025888	-0.022013	0.004961	-0.015669	0.005317	-0.010189	0.007534	-0.002201	-0.014766	0.002588	0.005222	0.013674	-0.019675	-0.005825	0.001666	-0.000875	-0.006524	-0.003973	-0.013028	-0.487360	-0.009729	0.598001	0.020648	0.042472	-0.019972	-0.015682	-0.008236	-0.031058	-0.014650	0.019444	-0.000496	-0.006902	0.036177	-0.023449	-0.010192	-0.017486	0.014285	-0.003845	0.006800	0.005336	-0.003680	-0.002479	-0.069409	0.000698	0.000091	-0.186656	-0.003669	-0.011772	-0.013478	0.005048	-0.009414	0.006885	0.026853	-0.116746	0.008861	-0.045637	0.116000	-0.007065	-0.007853	-0.009724	0.003803	0.022007	0.008269
'sub_26'	0.061363	0.070119	-0.045128	-0.001600	-0.006058	0.009129	-0.013057	-0.012706	0.000576	0.007792	0.006216	-0.006440	-0.008495	-0.005477	-0.009435	0.000392	-0.031302	-0.002479	-0.001920	0.002746	0.006368	-0.000951	0.047550	0.014688	0.392375	0.005392	-0.313515	0.015065	-0.006698	-0.019503	0.007029	0.007283	0.036931	-0.022035	-0.055282	-0.001472	0.020785	-0.077468	-0.011944	0.013316	-0.016733	-0.002219	0.003961	0.004543	0.014330	0.000234	-0.008357	0.047895	0.010102	0.010791	0.079192	0.007667	-0.005298	0.001033	0.001475	0.003665	-0.005056	-0.071517	0.026886	0.031646	-0.075851	-0.074997	-0.331557	-0.004627	-0.006591	0.035769	-0.008006	-0.010931
'sub_27'	-0.009877	0.060037	-0.018817	0.001961	0.009513	0.022848	0.011908	-0.006157	0.004335	-0.008481	-0.001742	-0.007421	0.002529	-0.009586	0.008423	0.004711	0.024475	-0.018010	0.003914	-0.006368	0.005600	-0.005109	-0.006305	0.003310	-0.216282	0.003299	-0.129445	-0.005617	-0.026034	0.029489	0.027066	0.011470	0.032217	0.014467	-0.020449	-0.001631	-0.007600	-0.035334	0.008841	0.024775	0.024905	0.001314	0.000273	0.005697	0.004789	0.000007	0.014616	-0.023377	-0.007140	0.006156	0.368043	0.001364	0.004982	0.011863	-0.007632	0.011180	-0.011254	-0.126387	0.052410	0.010130	0.056706	0.105931	0.088417	0.000916	0.008075	-0.030911	0.019173	0.000188
'sub_28'	0.019513	0.111497	0.033947	-0.006371	-0.006010	-0.011673	0.007265	0.023621	0.008475	0.007412	0.009991	0.020501	0.002809	0.000341	0.010191	0.002112	0.048252	0.008817	0.001765	-0.000998	0.003048	-0.005732	0.017054	-0.004389	0.031251	0.003543	-0.040731	0.026337	-0.011401	0.006402	-0.020284	0.008756	-0.015045	0.009821	-0.007559	0.004519	-0.004149	0.016835	-0.001415	-0.003406	0.013250	0.000403	0.008628	0.013979	-0.002990	-0.000941	-0.010954	0.013536	0.018661	0.015004	-0.601952	0.000524	-0.003155	0.013491	0.004311	-0.025234	-0.010220	-0.132303	-0.029315	0.007198	0.021098	0.202630	0.005906	-0.004223	0.000419	-0.006466	0.053617	-0.012503
'sub_29'	0.005639	0.018182	0.018433	-0.007578	-0.011775	0.018212	0.001182	-0.021011	-0.005171	-0.009067	-0.012893	0.001285	-0.001598	-0.011846	0.009413	-0.006396	-0.040090	-0.004799	-0.001148	-0.002851	0.000762	0.001969	0.024176	0.004802	-0.253668	-0.006678	-0.255405	-0.002635	-0.057825	0.003774	0.002788	-0.005945	-0.007525	-0.010477	-0.045597	-0.001022	0.015805	-0.033752	0.000079	-0.008589	-0.017300	-0.003344	-0.004094	-0.015753	-0.002400	0.009640	-0.002704	-0.038286	0.003223	-0.020736	-0.005683	0.000509	0.022202	-0.005120	-0.007216	-0.005991	-0.021900	-0.063790	0.079980	-0.008971	-0.026206	0.141742	-0.185497	0.010149	-0.005499	0.010510	-0.071325	-0.008997
'sub_30'	0.012638	-0.013139	0.037547	-0.006675	0.000191	0.007878	-0.003193	-0.015968	-0.001222	-0.004325	-0.001635	0.002799	-0.001833	-0.011227	0.009922	0.002456	-0.047799	-0.012214	0.007353	0.000003	0.001332	-0.004537	0.009489	-0.021702	-0.088538	0.005912	-0.029364	-0.020230	-0.032624	0.016813	0.005131	-0.008934	0.018489	-0.020760	0.030969	-0.002820	-0.012102	-0.011225	0.000622	0.007478	-0.030108	-0.005659	0.005811	-0.022995	-0.006302	0.000429	0.012944	-0.008026	-0.012402	-0.007742	0.107721	-0.006071	0.009398	-0.004288	-0.000506	0.001522	-0.014264	-0.045339	0.185672	-0.004315	-0.073973	0.072283	0.185492	-0.004956	0.002331	0.034701	-0.045145	-0.009553
