	lSF	lFP	lRMF	lCMF	lPOB	lLOF	lPT	lPOP	lMOF	lRAC	lCAC	lINS	lPRC	lPOC	lSUPRA	lSP	lIP	lPARA	lPCG	rIST	lPREC	lCUN	lPERI	lLIN	lLO	lTRANS	lBKS	lST	lMT	lIT	lTP	lENT	lPHIP	lFUS	rSF	rFP	rCAC	rCMF	rPOB	rLOF	rPT	rPOP	rMOF	rRMF	rRAC	rINS	rPRC	rPOC	rSUPRA	rSP	rIP	rPARAC	rPCG	lIST	rPREC	rCUN	rPERI	rLIN	rLO	rTRANS	rBKS	rST	rMT	rIT	rTP	rENT	rPHIP	rFUS
'fs_11'	-0.000055	0.001276	0.000024	0.001111	-0.000153	0.015004	0.001600	-0.005853	-0.001295	0.006020	-0.001677	0.000815	0.008424	0.000245	-0.002227	0.000309	0.000026	0.003875	0.001714	0.002321	-0.000751	0.053300	-0.000823	-0.000306	0.010361	-0.000969	0.001226	0.000804	0.000281	-0.005475	-0.000064	0.000202	-0.014476	-0.002508	0.053013	0.001580	-0.000204	-0.068055	0.001074	0.005012	0.007318	-0.001459	-0.000874	-0.002977	0.000005	-0.000069	0.000917	0.004489	-0.008548	-0.010026	-0.016287	0.013485	0.000563	0.001536	-0.002673	-0.013645	0.002716	-0.000366	0.003016	0.000216	0.003059	-0.000120	-0.000250	-0.001303	-0.002265	-0.001262	0.002983	0.000336
'fs_12'	0.001376	-0.001586	-0.000151	-0.003586	0.000002	-0.005539	-0.003267	-0.003055	0.002252	0.004174	0.000704	0.001253	0.009091	0.000363	0.000334	-0.001361	0.002103	0.015925	-0.000537	0.000140	-0.007060	-0.022868	-0.000518	-0.001243	0.006152	0.000019	-0.002700	-0.000621	0.000241	0.000629	-0.000027	0.001262	0.001048	0.001065	0.023645	0.000280	-0.002840	-0.048321	-0.004657	0.001309	0.001953	-0.000433	-0.004430	-0.000329	-0.000418	-0.000561	0.001674	0.011831	-0.007846	-0.008344	-0.008876	-0.007379	0.002274	-0.003646	-0.002751	0.018508	0.006041	-0.001096	-0.001215	0.000429	-0.002422	0.003905	0.000520	0.000034	-0.000816	-0.000739	-0.003333	0.002506
'fs_13'	0.002441	0.004395	0.002842	-0.012485	0.000866	-0.011705	0.001644	0.004152	0.002663	0.000449	-0.001823	-0.000831	0.009287	0.002107	-0.000207	0.002120	-0.001593	0.007586	0.000072	-0.000010	-0.003331	-0.026695	0.000802	-0.000440	-0.018844	-0.000165	0.004421	0.000651	0.001489	0.000501	0.000551	0.006661	-0.001400	-0.000390	0.288161	0.002221	0.001504	0.024565	-0.001941	0.000950	-0.002385	0.002560	0.014568	0.001043	0.000368	-0.002096	0.002175	0.002216	-0.005695	0.001761	0.009329	-0.006425	-0.004647	0.002728	-0.002114	-0.014670	-0.000445	-0.003932	0.005789	0.000813	0.006949	0.001113	0.000139	0.000712	0.001707	0.000827	-0.003089	0.000874
'fs_14'	-0.002253	0.001420	-0.000217	-0.016625	0.000821	-0.004738	-0.004131	-0.001900	-0.002269	0.002845	-0.000428	-0.001070	-0.015890	0.001127	-0.002081	0.002243	-0.001264	0.006246	0.000946	-0.001941	-0.016850	-0.015262	0.001263	-0.000500	0.027796	0.000282	-0.000221	-0.001179	-0.000101	0.000545	-0.002304	0.001124	0.000068	-0.000582	0.492415	0.001034	-0.003836	0.027429	0.001080	0.001418	-0.000113	0.000890	0.007405	0.000268	-0.001404	0.001423	0.002575	0.002249	-0.010398	0.007640	-0.006042	-0.004695	-0.003212	0.000018	-0.002151	-0.024278	0.000136	-0.006826	0.000037	0.001752	-0.007938	-0.003145	0.001983	0.001397	0.001066	-0.002481	-0.000814	-0.000737
'fs_15'	0.004756	0.001126	0.003599	0.000603	0.000708	0.000668	-0.002099	0.002105	-0.005092	-0.013054	0.001907	0.001406	-0.015637	0.000970	-0.001373	0.001072	0.001341	-0.001982	0.000518	0.000736	0.013577	-0.003294	0.001557	-0.000592	0.019936	0.001460	0.001001	0.000996	0.000748	-0.003851	0.001097	0.002118	-0.002068	0.001450	0.470714	-0.001254	-0.003132	-0.035928	0.005847	0.001498	-0.003436	-0.000616	0.011432	0.000599	-0.001187	0.001307	0.004093	-0.003828	0.000491	0.009032	0.012811	0.011361	0.005003	0.000784	0.000274	0.014111	-0.003449	0.000708	0.004910	0.001175	-0.002800	-0.003069	0.000645	0.000823	0.001718	0.002050	0.003441	0.001592
'fs_16'	-0.004842	0.004857	0.000914	0.000139	-0.001194	0.001638	-0.002717	0.001820	0.002996	-0.008553	-0.001821	0.000310	0.000886	0.001773	0.000875	-0.001296	-0.001234	-0.018729	-0.000735	-0.001585	-0.022950	0.002591	0.000066	-0.002063	-0.005394	0.000033	-0.001980	-0.002099	-0.001222	-0.000070	-0.001501	-0.000281	0.016920	-0.000598	0.760041	-0.000080	-0.000793	0.008718	-0.009366	-0.002817	-0.000446	-0.001881	0.001207	-0.000182	-0.000151	-0.001327	0.003742	0.006790	-0.003246	-0.013456	0.005812	-0.012263	-0.005357	-0.004973	-0.002310	-0.006970	0.001526	0.000269	-0.000492	-0.001996	0.005016	0.000252	0.002109	-0.000101	-0.001168	-0.001267	-0.000913	0.000998
'fs_17'	0.003380	-0.000811	0.000141	0.008018	0.001239	-0.007321	-0.000155	0.002047	0.002936	0.006886	0.001943	-0.001689	0.004354	-0.000579	0.000840	0.001829	0.001548	0.003743	0.001232	0.001801	0.041665	-0.027195	0.002412	-0.001736	0.019637	0.000220	0.000420	0.001708	0.000260	-0.001286	0.001850	0.000211	-0.000386	-0.000273	-0.213848	-0.000919	0.000034	-0.033461	0.010258	0.002367	0.002814	0.000849	-0.000467	0.001253	0.001829	0.002363	-0.000764	0.004148	0.001805	0.002533	0.020204	0.027272	-0.001935	-0.001068	0.002548	-0.002898	0.001215	0.002760	0.000718	0.000266	0.004022	0.005180	0.002243	0.003371	0.000847	-0.000257	0.001174	-0.000790
'fs_18'	0.002026	-0.002665	0.001913	0.006947	0.001288	-0.010848	0.005892	-0.003915	0.001756	-0.003317	0.000904	0.001586	0.006707	-0.000207	0.002213	0.001663	-0.000146	-0.017681	0.001375	0.000814	0.005386	-0.036164	0.002054	-0.000329	-0.010078	-0.000362	-0.000194	0.000506	0.000935	0.000886	0.001822	0.002858	-0.006376	0.002414	0.041760	0.000010	0.002540	0.002111	-0.006344	0.000179	0.009771	-0.000199	0.007198	0.001515	-0.001894	0.000114	-0.000111	0.006079	0.012135	0.009563	-0.001584	-0.014659	-0.001818	-0.000711	0.003744	-0.009136	-0.000794	0.002445	0.004237	-0.001488	0.006894	0.005387	-0.000954	0.000510	-0.000005	0.003725	0.002461	-0.000726
'fs_19'	0.004339	0.005759	-0.000039	-0.000913	0.000752	-0.002449	-0.000179	0.010183	-0.001753	-0.008232	0.002082	-0.000407	-0.007268	0.002533	0.001202	-0.000336	-0.000661	0.010841	-0.000844	-0.001636	0.004246	-0.011524	-0.000545	0.000480	-0.023086	-0.000605	0.000283	-0.000093	0.000869	0.001726	0.001561	0.003481	-0.000374	-0.001038	0.497596	0.001120	-0.001257	-0.009357	-0.006154	0.000486	0.005595	0.002378	-0.002036	0.001758	-0.001049	-0.000674	0.001893	0.005443	0.006915	0.011523	0.005403	-0.008382	-0.000331	-0.002239	0.004867	-0.009369	0.003212	-0.001560	-0.001739	0.001332	-0.001000	-0.003135	-0.000069	0.000711	-0.000879	0.002330	-0.002245	-0.003257
'fs_20'	0.001769	-0.001695	0.000131	-0.002580	-0.001989	-0.001181	-0.000493	-0.001538	-0.003933	0.006617	-0.002517	-0.002859	0.007581	-0.002395	0.001064	-0.000295	-0.001535	-0.000697	0.002009	-0.001875	-0.016363	-0.005797	-0.001454	-0.001427	-0.004965	-0.000976	-0.001978	-0.001901	-0.000864	0.001244	0.000918	-0.005876	0.005944	-0.003621	-0.401207	-0.000696	0.000011	0.011374	-0.009649	0.000213	-0.007340	-0.001119	-0.000209	-0.000992	-0.003435	-0.002004	-0.002218	-0.002264	-0.002094	-0.005481	-0.001684	-0.016093	-0.000852	-0.001762	-0.001074	-0.007848	-0.000577	-0.000910	-0.000903	-0.000873	-0.001875	-0.007244	0.000527	-0.000762	-0.004237	0.001133	0.007475	-0.003136
'fs_21'	-0.003132	0.002305	-0.000794	-0.014332	-0.000701	-0.011249	-0.004800	-0.002538	-0.000261	-0.007404	-0.000005	-0.000434	-0.016210	0.000317	-0.002217	-0.000768	-0.000189	0.002831	-0.000783	-0.002573	-0.000736	-0.025882	-0.001127	-0.001483	0.046277	0.001507	-0.000225	-0.000445	-0.000709	-0.003470	-0.002004	-0.002026	-0.000083	-0.001303	-0.027172	-0.000784	-0.001710	-0.019187	-0.008051	-0.002983	-0.012255	-0.001721	-0.001059	-0.002781	0.000212	0.001422	0.000164	-0.001186	-0.004496	-0.011726	0.006220	-0.015311	-0.001345	-0.002057	-0.002257	0.005941	-0.002210	-0.006026	-0.002020	-0.001988	-0.001015	-0.000848	0.001528	-0.002820	-0.001821	-0.002643	-0.004123	-0.001222
'fs_22'	0.003631	-0.004518	-0.000759	0.006717	-0.000057	-0.004042	-0.000133	0.005615	-0.003228	0.013632	0.002157	-0.000276	0.024453	-0.000614	-0.002463	-0.000015	-0.000541	-0.002223	-0.001068	0.000342	-0.000623	-0.009467	0.000182	0.004213	-0.003897	-0.000591	0.001151	-0.000048	0.000803	-0.001639	0.001830	0.000025	-0.006756	0.001518	0.775586	0.000171	0.003322	-0.068122	0.006481	-0.002355	-0.003914	0.001338	0.000938	0.000920	0.002350	0.001600	0.003176	0.007440	0.008159	-0.009148	-0.001231	0.008836	0.004351	0.002354	0.000999	0.008845	0.003086	0.003245	0.001278	0.001023	-0.000159	-0.000921	0.000475	-0.000007	0.000515	-0.003205	0.001576	-0.000107
'fs_23'	0.003080	-0.001490	0.000431	-0.006817	0.000432	0.006495	-0.003271	0.000936	0.006707	-0.000944	-0.000799	-0.001182	-0.009256	-0.001805	-0.000684	-0.001106	-0.000365	-0.001652	-0.001783	0.002048	-0.005330	0.009578	-0.000478	0.002051	-0.002670	0.000072	-0.003261	-0.000128	-0.002456	0.003088	0.000713	-0.001477	-0.003108	-0.001670	-0.561286	-0.001306	0.000389	-0.033897	-0.005179	0.000737	0.002515	-0.002054	0.002044	-0.000342	0.000142	0.002873	-0.003224	0.008914	0.017882	-0.011510	0.007595	-0.006266	0.003915	-0.003660	0.006396	-0.003466	0.002121	-0.003847	0.002062	0.005622	-0.003231	0.008529	-0.000012	0.001441	-0.002313	0.002945	-0.005991	-0.001718
'fs_24'	0.001924	0.006400	0.000884	0.010381	0.000690	0.002335	-0.000449	-0.000323	0.000583	-0.004634	0.001706	-0.001036	0.000920	0.003756	-0.000841	0.001689	-0.000900	-0.005813	0.003287	-0.000963	-0.020123	0.006827	0.001126	0.000710	0.001748	0.000688	0.001217	-0.000127	0.000843	0.001182	0.000927	0.004506	-0.010683	0.003367	-0.307805	-0.001087	0.000768	-0.049329	0.006362	-0.002106	0.016548	0.001646	0.001132	0.003403	0.001208	0.001879	-0.002116	-0.000260	0.001892	-0.003454	0.008265	0.024239	0.000685	-0.000674	0.000313	0.010033	-0.003118	0.004970	0.000745	0.000565	0.002931	-0.000572	0.000394	-0.000555	0.001588	-0.000099	0.012909	0.000829
'fs_25'	-0.002758	-0.007473	-0.001974	-0.011498	-0.000626	-0.001932	0.001233	0.002301	-0.001494	-0.015716	-0.001039	-0.001651	-0.015251	-0.004632	-0.000126	-0.003193	-0.000691	-0.001605	-0.004585	-0.000483	-0.008409	-0.004333	-0.000116	-0.001820	-0.014072	-0.001554	-0.002998	-0.001574	-0.001779	-0.002407	-0.002273	-0.003539	-0.009103	-0.003704	0.425808	-0.001687	-0.001137	-0.038695	-0.009584	-0.002930	-0.001501	-0.003365	-0.006065	0.000214	-0.002699	-0.002467	0.001097	0.000339	-0.009252	-0.008533	-0.005513	-0.020689	-0.002306	-0.003658	-0.003257	-0.009949	0.001516	-0.005929	-0.002418	-0.001994	0.001359	-0.001082	-0.002896	-0.001657	-0.000813	0.000272	-0.019752	-0.005108
'fs_26'	0.001539	-0.005080	-0.000570	-0.003278	0.000123	0.008093	0.001241	-0.000228	0.003363	-0.001970	0.001329	0.000109	-0.011858	-0.000893	0.000620	-0.001086	0.000962	0.001789	0.002298	0.000201	-0.000068	0.008231	0.000844	-0.000821	-0.002336	-0.000018	-0.001244	0.000451	0.000039	0.003589	-0.000321	0.000612	0.033251	0.000325	0.055170	0.000435	-0.000485	0.054867	0.010366	0.001148	0.003192	-0.001507	-0.011288	0.001274	0.002642	0.000137	0.001574	0.005481	0.003588	0.001900	-0.000548	0.046198	-0.000945	0.000274	0.001519	0.000575	-0.001660	-0.000399	-0.004250	-0.000265	0.001311	0.004687	0.000939	0.001093	0.000538	0.002680	0.001028	0.002027
'fs_27'	0.003799	0.003729	0.002905	0.003654	0.000849	0.006693	-0.000159	0.001841	0.003386	-0.007201	0.000184	-0.001064	-0.003102	0.001292	0.003258	0.000319	0.002308	0.012136	-0.000627	0.001321	0.004541	0.023397	0.000296	0.000116	-0.004798	0.000266	0.003149	0.000143	0.001809	0.000738	0.001155	0.006683	0.005061	0.000109	-0.352395	0.000990	-0.000751	-0.024010	0.009407	0.002196	0.005368	-0.000031	0.009287	0.000703	0.001723	-0.000551	-0.000470	0.004690	0.002484	0.003005	0.001103	0.029621	0.003338	0.000894	0.001182	0.008480	0.001877	0.001485	0.003144	0.003312	0.001321	0.004643	0.000363	0.000828	0.001459	0.004062	0.000106	0.002269
'fs_28'	0.001932	0.005873	0.001561	-0.012934	0.000162	-0.000196	0.001308	-0.000752	-0.003037	-0.000169	-0.000212	0.000722	-0.007011	0.002400	-0.000429	0.001429	-0.000327	0.000740	0.002126	0.000177	0.002715	0.008249	-0.000023	-0.000409	0.005300	0.000643	0.002612	0.000682	0.001536	0.000816	-0.000788	0.004055	-0.007937	0.000627	-0.426917	-0.000238	-0.000934	0.060509	0.005157	0.000248	0.007262	0.001419	0.004504	0.001589	0.000904	-0.000476	-0.002162	-0.003932	-0.009376	0.015661	0.005953	0.016989	0.000500	0.001568	-0.004374	0.009016	0.000045	-0.003981	0.001986	-0.001937	0.001304	-0.006344	-0.001505	0.000366	0.000375	-0.000439	0.001768	0.001890
'fs_29'	-0.001006	0.000455	0.000619	-0.004680	-0.000909	0.006346	0.001578	0.000869	0.001811	0.003542	-0.000166	-0.000832	0.002815	-0.000833	-0.000617	0.000501	0.001252	0.006332	0.002049	0.000247	0.003964	0.017949	-0.001495	-0.001349	0.009754	-0.000275	0.000169	-0.000213	-0.000215	-0.002231	-0.000362	-0.000906	0.015220	0.001901	0.338279	0.001692	-0.000041	-0.028397	-0.002657	-0.000832	-0.010131	-0.001946	0.009575	-0.000677	0.000783	0.001081	0.001346	-0.006013	0.006016	-0.006716	-0.002096	-0.003252	0.001688	-0.001414	0.000313	0.001985	-0.001313	-0.001537	0.002156	-0.001010	0.003118	0.002710	0.002039	-0.000443	-0.001271	-0.000712	0.007029	0.000581
'fs_30'	0.000464	-0.011189	0.000845	0.012088	0.000793	-0.006998	0.001224	0.000005	-0.000014	-0.008408	0.001232	0.000392	-0.009772	-0.001966	0.001317	0.000405	0.001345	-0.002084	0.003547	0.000764	-0.012592	-0.023549	0.001905	0.001236	0.006214	-0.000588	0.000086	-0.000318	0.000247	-0.001721	0.000945	0.000470	-0.001374	0.000647	-0.309221	-0.002050	0.000326	0.032453	0.004610	0.000970	0.003803	-0.001177	0.002534	0.000579	-0.000945	0.001338	-0.001307	0.000806	0.005687	-0.000307	-0.013812	0.010591	0.008637	0.001858	0.002333	0.013800	-0.001905	0.005856	0.001000	0.002014	-0.000292	-0.001136	-0.000718	0.001280	-0.000228	0.002175	0.017824	-0.000713
'fs_31'	-0.001661	0.004898	0.000362	-0.015177	0.000736	-0.003821	-0.001182	-0.004638	-0.001029	-0.002010	0.000431	-0.000985	0.004824	0.003575	-0.000278	0.000447	-0.000963	0.002831	-0.002367	-0.001649	-0.024216	0.004962	-0.000325	-0.000063	0.024981	0.001282	0.001442	-0.000014	0.001594	0.005556	-0.000763	0.003668	-0.007063	-0.002204	-0.309840	0.000353	0.000146	0.036551	0.002897	0.002128	0.005019	0.001454	0.001388	-0.000367	-0.000097	0.002245	-0.002085	0.003932	0.007679	-0.004497	-0.007390	0.006290	-0.001121	0.002212	0.000885	-0.001982	0.004255	-0.006871	-0.000668	0.000230	0.006034	-0.004958	-0.000251	0.000312	0.000858	-0.000608	-0.010955	0.000285
'fs_32'	-0.003051	0.004136	-0.002006	0.001136	-0.000484	0.007813	-0.000718	-0.000350	-0.001541	0.003977	-0.001713	-0.001813	0.000086	0.000140	-0.000401	-0.000207	-0.001767	-0.016551	-0.001723	-0.001797	0.006551	0.016002	-0.000346	0.001114	-0.005996	-0.001439	-0.003571	-0.000945	-0.001882	-0.001291	-0.001523	0.002533	0.011023	0.001871	0.195019	-0.001972	-0.001671	-0.034769	0.002846	-0.000179	0.006925	-0.001043	0.000428	-0.000708	-0.000711	-0.001361	-0.000683	-0.002773	-0.008616	-0.002347	0.005808	0.011119	0.005110	-0.003364	-0.002398	0.002588	-0.003001	-0.000164	0.000032	0.001294	-0.006025	-0.001584	-0.001142	-0.001649	-0.003259	-0.002950	-0.003532	-0.002311
'fs_33'	0.005444	0.002104	-0.000447	-0.001892	-0.000384	-0.003479	0.003379	-0.000396	-0.005591	-0.009451	-0.000003	-0.000371	0.011175	0.001030	0.000827	0.000210	-0.000802	0.011199	0.000154	-0.000414	0.036407	-0.006133	0.000494	0.000379	0.004438	-0.000658	0.000327	0.002050	0.000932	0.003343	0.001507	-0.001335	0.008913	0.002281	-0.128903	-0.000037	0.001715	-0.008870	0.001912	-0.000672	-0.001040	0.001084	-0.003689	0.002762	-0.000657	-0.000572	-0.000603	-0.000517	-0.003377	-0.004118	-0.004047	0.014012	-0.000167	0.001586	-0.000330	-0.005909	0.000137	-0.000050	-0.000565	-0.000863	0.005104	-0.006011	0.001030	0.000072	0.001056	0.000580	-0.002931	-0.000367
'fs_34'	-0.002376	0.008862	0.000616	-0.012935	-0.000041	-0.005600	0.001357	-0.000511	0.002874	-0.005586	-0.000910	0.000816	0.002306	0.001939	0.000594	0.000304	-0.001136	-0.010375	0.001229	0.000283	0.023123	-0.024834	-0.000421	0.000850	-0.010474	-0.001237	-0.003695	0.000405	-0.001019	-0.002684	-0.001232	-0.002443	0.003995	-0.000035	0.015425	0.001395	0.000156	0.037195	-0.007195	-0.000026	-0.001979	-0.000191	-0.002024	-0.000389	-0.001744	-0.001381	0.000996	0.007039	0.009594	-0.009741	-0.005014	-0.007536	0.005449	0.000313	0.002596	0.011153	0.002282	-0.004476	-0.000357	0.001750	0.002112	0.007705	0.000423	-0.002847	-0.001191	-0.000979	-0.000808	-0.000866
'fs_35'	0.001875	0.007659	0.000932	-0.006981	0.001062	0.012618	0.005983	-0.001120	0.001370	-0.001315	-0.000355	0.003194	0.005255	0.001679	0.003377	0.002228	0.002189	0.010694	0.003882	0.001952	-0.000273	0.045991	0.000874	0.001159	0.007551	0.000882	0.002289	0.001180	0.001868	0.000149	0.001008	-0.000839	0.003370	0.002297	0.480587	0.003593	0.002196	-0.034269	0.001390	0.001060	-0.005085	0.000848	0.007408	-0.000379	0.000807	0.001519	0.002481	-0.004862	0.007151	0.009654	0.000873	0.004033	0.005132	0.002647	0.003139	0.011275	-0.002519	-0.002348	0.004903	0.000766	0.001890	0.002909	0.000421	0.000816	0.001741	0.002415	0.005293	0.002309
